IFK Göteborg,Örebro SK,IF Elfsborg,IFK Norrköping,Hammarby IF,Kalmar FF,GAIS,Malmö FF,Trelleborgs FF,Halmstads BK,round,Helsingborgs IF,AIK,GIF Sundsvall,Gefle IF,Ljungskile,Djurgårdens IF FF
8,5,7,12,4,11,6,9,15,3,1,1,10,16,13,14,2
2,10,4,14,1,5,12,11,8,7,2,3,13,16,9,15,6
5,13,6,14,4,2,9,12,8,7,3,1,10,16,11,15,3
3,12,6,15,5,1,13,11,7,8,4,4,9,14,10,16,2
4,11,9,16,3,1,12,8,10,6,5,5,7,14,13,15,2
2,9,7,16,5,1,11,4,13,8,6,6,10,15,14,12,3
4,12,7,16,6,1,9,2,13,5,7,8,10,15,14,11,3
3,12,4,16,9,1,10,5,11,7,8,6,8,15,14,13,2
3,13,4,16,9,1,10,5,12,8,9,7,6,15,14,11,2
2,13,3,16,9,1,10,5,12,8,10,7,4,15,14,11,6
4,13,2,16,6,1,10,7,12,9,11,5,3,15,14,11,8
6,14,2,16,7,1,10,5,11,9,12,4,3,12,15,13,8
7,13,2,16,5,1,10,6,11,9,13,4,3,12,14,15,8
6,12,2,16,4,1,8,7,11,10,14,3,5,13,14,15,9
5,12,2,16,4,1,8,7,11,9,15,3,6,13,15,14,10
4,13,2,16,5,1,9,7,11,8,16,3,6,12,15,14,10
4,12,2,16,5,1,9,7,11,8,17,3,6,13,14,15,10
5,11,2,16,4,1,10,7,12,8,18,3,6,13,14,15,9
3,12,1,16,5,2,8,10,11,9,19,4,6,13,15,14,7
3,11,2,16,4,1,9,8,12,10,20,5,6,14,15,13,7
4,12,2,16,5,1,9,8,11,10,21,3,6,15,14,13,7
4,12,2,16,5,1,8,10,11,7,22,3,6,15,14,13,9
4,11,2,16,5,1,7,12,8,9,23,3,6,15,14,13,10
4,11,2,16,5,1,10,12,9,6,24,3,7,15,14,13,8
4,12,2,16,7,1,9,11,8,5,25,3,10,15,14,13,6
3,11,2,16,6,1,9,12,10,5,26,4,7,15,13,14,8
3,8,2,16,6,1,11,12,10,5,27,4,7,15,13,14,9
3,10,2,16,5,1,12,8,9,6,28,4,7,15,13,14,11
3,9,2,16,7,1,10,6,11,8,29,4,5,15,13,14,12
3,7,2,16,9,1,11,6,10,8,30,4,5,15,13,14,12
