IFK Göteborg,Kalmar FF,IF Elfsborg,Gefle IF,Hammarby IF,Örebro SK,GAIS,Malmö FF,Trelleborgs FF,IF Brommapojkarna,Halmstads BK,Djurgårdens IF FF,Helsingborgs IF,AIK,Örgryte IS,round,BK Häcken
14,9,8,6,7,15,1,5,11,10,13,3,4,2,16,1,12
7,13,6,5,11,14,8,2,10,4,12,9,1,3,16,2,15
9,13,7,6,14,11,12,2,5,3,15,8,1,4,16,3,10
6,15,4,10,11,9,8,1,7,5,12,13,2,3,16,4,14
5,15,2,11,13,6,8,4,10,3,9,14,7,1,16,5,12
1,14,3,11,13,9,10,6,8,5,7,15,2,4,16,6,12
3,11,2,9,15,10,12,8,5,4,7,14,1,6,16,7,13
3,10,2,11,15,9,12,6,7,8,5,14,1,4,16,8,13
3,11,1,9,14,5,13,6,8,10,7,15,2,4,16,9,12
1,9,2,7,13,6,14,8,5,12,10,15,3,4,16,10,11
1,8,2,4,13,6,14,9,7,11,10,15,3,5,16,11,12
1,7,2,6,13,8,14,9,5,12,10,15,3,4,16,12,11
1,5,2,6,13,8,15,10,7,11,9,14,4,3,16,13,12
1,5,2,7,13,6,15,11,8,12,10,14,4,3,16,14,9
1,4,2,8,13,6,15,11,9,12,10,14,3,5,16,15,7
2,4,1,10,13,6,15,9,8,12,11,14,3,5,16,16,7
4,2,3,8,13,7,15,10,6,11,12,14,1,5,16,17,9
1,4,5,7,13,6,15,9,10,12,11,14,2,3,16,18,8
2,5,3,8,13,6,14,10,9,12,11,15,4,1,16,19,7
3,4,1,7,14,8,13,10,9,12,11,15,5,2,16,20,6
2,4,3,8,14,7,13,10,9,12,11,15,5,1,16,21,6
2,3,4,8,14,6,13,9,10,11,12,16,5,1,15,22,7
2,3,4,9,14,5,12,8,10,13,11,15,7,1,16,23,6
1,4,3,10,14,5,12,8,9,13,11,15,6,2,16,24,7
2,4,3,10,14,6,11,8,9,13,12,15,7,1,16,25,5
2,4,3,10,14,8,11,6,9,13,12,16,5,1,15,26,7
2,4,3,10,15,8,11,7,9,13,12,16,6,1,14,27,5
2,4,3,10,16,7,11,8,9,13,12,15,6,1,14,28,5
2,4,3,10,16,6,12,8,9,11,13,14,7,1,15,29,5
2,4,3,10,16,6,11,7,9,12,13,14,8,1,15,30,5
