IFK Göteborg,Örebro SK,IF Elfsborg,IFK Norrköping,Kalmar FF,GAIS,Malmö FF,Trelleborgs FF,Halmstads BK,Djurgårdens IF FF,Helsingborgs IF,AIK,Gefle IF,Mjällby AIF,round,Syrianska FC,BK Häcken
13,5,3,2,11,16,1,15,10,9,4,8,6,14,1,7,12
14,3,9,10,6,7,1,16,13,11,2,4,5,15,2,12,8
15,7,9,6,10,5,1,16,13,12,2,8,3,11,3,14,4
16,5,10,4,8,3,1,12,15,13,2,6,7,11,4,14,9
14,5,9,2,10,4,3,13,15,16,1,6,7,12,5,11,8
13,9,6,2,8,7,3,12,15,16,1,5,4,11,6,14,10
12,10,2,5,3,9,4,11,16,15,1,7,8,13,7,14,6
11,12,6,7,2,5,3,8,16,14,1,4,9,13,8,15,10
12,9,3,10,4,8,2,7,16,15,1,6,5,13,9,14,11
8,5,2,11,3,6,4,10,16,15,1,9,7,13,10,14,12
11,4,2,10,3,5,8,9,16,15,1,7,6,14,11,13,12
9,3,2,11,6,4,7,12,16,14,1,8,5,15,12,13,10
10,6,2,12,3,7,5,14,16,13,1,8,4,15,13,11,9
10,8,2,13,3,5,7,15,16,11,1,6,4,14,14,12,9
9,10,2,13,3,7,6,14,16,11,1,5,4,15,15,12,8
9,10,2,13,4,6,8,12,16,11,1,3,5,15,16,14,7
9,11,2,13,5,4,6,12,16,10,1,3,7,15,17,14,8
8,10,2,13,5,4,6,12,16,11,1,3,9,15,18,14,7
8,10,2,11,7,4,5,14,16,12,1,3,9,13,19,15,6
7,9,2,13,8,4,5,11,16,12,1,3,10,14,20,15,6
8,7,2,14,9,4,6,12,16,13,1,3,10,11,21,15,5
7,9,2,14,8,5,6,12,16,13,1,3,10,11,22,15,4
7,9,2,12,8,4,5,13,16,14,1,3,10,11,23,15,6
7,9,2,12,8,4,5,14,16,13,1,3,10,11,24,15,6
7,10,2,11,8,5,6,14,16,12,1,3,9,13,25,15,4
7,10,2,12,8,4,5,15,16,11,1,3,9,13,26,14,6
7,10,3,13,8,5,6,15,16,11,1,2,9,12,27,14,4
7,10,2,13,8,6,5,15,16,12,1,3,9,11,28,14,4
7,11,3,13,8,6,4,15,16,12,1,2,9,10,29,14,5
7,12,3,13,8,5,4,15,16,11,1,2,9,10,30,14,6
