IFK Göteborg,Kalmar FF,IF Elfsborg,IFK Norrköping,Åtvidabergs FF,Malmö FF,IF Brommapojkarna,Halmstads BK,Djurgårdens IF FF,Helsingborgs IF,AIK,Östers IF,Gefle IF,Mjällby AIF,round,Syrianska FC,BK Häcken
2,3,8,4,13,11,7,10,15,1,6,9,5,12,1,16,14
1,4,8,2,15,5,12,11,16,3,10,9,7,6,2,14,13
1,8,11,5,12,2,10,14,16,7,13,6,4,3,3,15,9
1,8,10,7,12,2,9,13,16,5,14,4,6,3,4,15,11
1,5,7,10,13,2,12,15,16,3,11,6,9,4,5,14,8
1,6,5,7,13,2,14,15,16,3,11,8,12,4,6,10,9
3,6,4,8,10,2,15,12,16,1,9,11,13,5,7,14,7
2,6,3,8,7,5,11,13,16,1,10,12,14,4,8,15,9
2,6,4,7,9,5,11,15,16,1,8,12,13,3,9,14,10
2,5,3,8,7,4,12,13,16,1,10,14,11,6,10,15,9
3,6,2,9,8,4,15,16,12,1,7,11,13,5,11,14,10
3,7,2,10,6,5,14,16,12,1,8,11,13,4,12,15,9
3,7,2,10,5,4,14,15,11,1,8,12,13,6,13,16,9
2,7,3,10,6,4,14,15,11,1,5,13,12,8,14,16,9
2,7,4,11,6,3,15,14,10,1,5,12,13,8,15,16,9
4,6,5,10,7,2,15,13,11,1,3,14,12,8,16,16,9
4,6,5,9,7,2,15,13,11,1,3,14,12,8,17,16,10
4,5,6,9,7,2,14,15,10,1,3,13,12,8,18,16,11
4,6,5,8,7,2,14,15,10,1,3,13,11,9,19,16,12
3,6,5,7,9,1,15,14,10,2,4,12,11,8,20,16,13
4,5,6,8,7,1,15,14,10,2,3,11,13,9,21,16,12
4,5,6,7,9,1,15,14,10,2,3,11,13,8,22,16,12
3,6,5,9,8,1,15,14,10,2,4,13,12,7,23,16,11
2,6,5,9,8,1,15,14,10,3,4,13,12,7,24,16,11
2,5,6,8,7,1,12,15,10,3,4,14,13,9,25,16,11
2,5,6,7,9,1,12,15,8,3,4,14,13,10,26,16,11
2,5,6,8,9,1,12,15,7,3,4,14,13,11,27,16,10
3,5,6,9,8,1,13,14,7,4,2,15,12,11,28,16,10
3,5,6,8,9,1,13,14,7,4,2,15,12,10,29,16,11
3,4,6,9,8,1,13,14,7,5,2,15,12,11,30,16,10
