hl_id,bl_form10,matchid,bl_form5,bl_slutmal,hl_form5,bl_namn,hl_form10,omgang,hl_pos,hl_namn,hl_slutmal,sasong,bl_pos,bl_id
19740,0,2129667,0,3,0,IFK Göteborg,0,1,0,Häcken,0,2013-03-31T00:00+0100,0,9370
9373,0,2129668,0,0,0,Djurgården,0,1,0,Helsingborg,3,2013-03-31T00:00+0100,0,9368
23026,0,2129669,0,3,0,Kalmar FF,0,1,0,Syrianska,0,2013-03-31T00:00+0100,0,9374
9389,0,2129670,0,2,0,Norrköping,0,1,0,Mjällby,1,2013-03-31T00:00+0100,0,9376
9375,0,2129671,0,1,0,Halmstad,0,1,0,Malmö FF,1,2013-03-31T00:00+0100,0,9371
9400,0,2129672,0,0,0,Åtvidaberg,0,1,0,Gefle,1,2013-03-31T00:00+0100,0,9393
19721,0,2129673,0,2,0,Öster,0,1,0,Brommapojkarna,2,2013-03-31T00:00+0100,0,9394
9369,0,2129674,0,2,0,AIK,0,1,0,Elfsborg,2,2013-03-31T00:00+0100,0,9367
9393,0,2129675,0,3,-1,Malmö FF,-1,2,15,Åtvidaberg,1,2013-03-31T00:00+0100,5,9375
9367,-1,2129676,-1,0,0,Syrianska,0,2,10,AIK,0,2013-03-31T00:00+0100,14,23026
9370,0,2129677,0,0,0,Brommapojkarna,0,2,1,IFK Göteborg,2,2013-03-31T00:00+0100,12,19721
9374,-1,2129678,-1,0,0,Häcken,0,2,4,Kalmar FF,0,2013-03-31T00:00+0100,13,19740
9371,0,2129679,0,1,0,Elfsborg,0,2,11,Halmstad,1,2013-03-31T00:00+0100,8,9369
9376,1,2129680,1,1,0,Gefle,0,2,2,Norrköping,2,2013-03-31T00:00+0100,7,9400
9368,-1,2129681,-1,3,-1,Mjällby,-1,2,16,Djurgården,0,2013-03-31T00:00+0100,6,9389
9394,1,2129682,1,1,0,Helsingborg,0,2,9,Öster,1,2013-03-31T00:00+0100,3,9373
19721,1,2129683,1,0,-1,Norrköping,-1,3,10,Brommapojkarna,1,2013-03-31T00:00+0100,5,9376
23026,0,2129684,0,1,-1,Öster,-1,3,15,Syrianska,0,2013-03-31T00:00+0100,6,9394
9375,0,2129685,0,0,0,Kalmar FF,0,3,2,Malmö FF,1,2013-03-31T00:00+0100,8,9374
9393,0,2129686,0,0,-2,AIK,-2,3,12,Åtvidaberg,1,2013-03-31T00:00+0100,13,9367
19740,-2,2129687,-2,0,-1,Djurgården,-1,3,9,Häcken,4,2013-03-31T00:00+0100,16,9368
9400,0,2129688,0,0,0,Halmstad,0,3,4,Gefle,2,2013-03-31T00:00+0100,14,9371
9373,-1,2129689,-1,2,1,Mjällby,1,3,7,Helsingborg,1,2013-03-31T00:00+0100,3,9389
9369,1,2129690,1,0,0,IFK Göteborg,0,3,11,Elfsborg,0,2013-03-31T00:00+0100,1,9370
9394,0,2129691,0,0,0,Häcken,0,4,4,Öster,2,2013-03-31T00:00+0100,11,19740
9371,-1,2129692,-1,0,-1,Åtvidaberg,-1,4,13,Halmstad,0,2013-03-31T00:00+0100,12,9393
9367,1,2129693,1,1,-1,Malmö FF,-1,4,14,AIK,0,2013-03-31T00:00+0100,2,9375
9368,0,2129694,0,1,-3,Brommapojkarna,-3,4,16,Djurgården,1,2013-03-31T00:00+0100,9,19721
9374,0,2129695,0,1,-1,Elfsborg,-1,4,8,Kalmar FF,1,2013-03-31T00:00+0100,10,9369
9389,1,2129696,1,0,-1,Gefle,-1,4,3,Mjällby,1,2013-03-31T00:00+0100,6,9400
9370,-2,2129697,-2,0,1,Syrianska,1,4,1,IFK Göteborg,2,2013-03-31T00:00+0100,15,23026
9376,0,2129698,0,4,0,Helsingborg,0,4,7,Norrköping,1,2013-03-31T00:00+0100,5,9373
9393,2,2129699,2,2,-1,IFK Göteborg,-1,5,13,Åtvidaberg,1,2013-03-31T00:00+0100,1,9370
9371,-1,2129700,-1,2,-1,Kalmar FF,-1,5,15,Halmstad,1,2013-03-31T00:00+0100,5,9374
19740,0,2129701,0,0,-1,Mjällby,-1,5,8,Häcken,2,2013-03-31T00:00+0100,4,9389
19721,0,2129702,0,2,0,Helsingborg,0,5,12,Brommapojkarna,0,2013-03-31T00:00+0100,3,9373
23026,-1,2129703,-1,1,-3,Norrköping,-3,5,14,Syrianska,3,2013-03-31T00:00+0100,10,9376
9375,1,2129704,1,0,1,Öster,1,5,2,Malmö FF,2,2013-03-31T00:00+0100,6,9394
9400,-2,2129705,-2,2,0,AIK,0,5,9,Gefle,1,2013-03-31T00:00+0100,11,9367
9369,-3,2129706,-3,0,0,Djurgården,0,5,7,Elfsborg,2,2013-03-31T00:00+0100,16,9368
9370,2,2129707,2,1,2,Malmö FF,2,6,1,IFK Göteborg,1,2013-03-31T00:00+0100,2,9375
9376,0,2129708,0,2,-2,Häcken,-2,6,7,Norrköping,4,2013-03-31T00:00+0100,9,19740
9368,-2,2129709,-2,1,-4,Syrianska,-4,6,16,Djurgården,0,2013-03-31T00:00+0100,10,23026
9374,-2,2129710,-2,0,-1,Åtvidaberg,-1,6,6,Kalmar FF,0,2013-03-31T00:00+0100,13,9393
9373,-1,2129711,-1,1,0,Gefle,0,6,3,Helsingborg,5,2013-03-31T00:00+0100,12,9400
9367,-2,2129712,-2,3,-2,Halmstad,-2,6,11,AIK,3,2013-03-31T00:00+0100,15,9371
9389,-1,2129713,-1,2,-1,Brommapojkarna,-1,6,4,Mjällby,4,2013-03-31T00:00+0100,14,19721
9394,1,2129714,1,3,0,Elfsborg,0,6,8,Öster,1,2013-03-31T00:00+0100,5,9369
9375,-1,2129715,-1,1,2,Norrköping,2,7,2,Malmö FF,1,2013-03-31T00:00+0100,8,9376
9393,-5,2129716,-4,1,-1,Djurgården,-2,7,10,Åtvidaberg,5,2013-03-31T00:00+0100,16,9368
9371,-1,2129717,-1,0,-2,Öster,-2,7,12,Halmstad,1,2013-03-31T00:00+0100,11,9394
9369,0,2129718,1,1,1,Mjällby,1,7,4,Elfsborg,2,2013-03-31T00:00+0100,5,9389
23026,1,2129719,0,1,-1,Helsingborg,-2,7,14,Syrianska,0,2013-03-31T00:00+0100,1,9373
9400,-1,2129720,-1,1,-3,Kalmar FF,-2,7,13,Gefle,1,2013-03-31T00:00+0100,6,9374
19740,-2,2129721,-2,0,0,Brommapojkarna,-1,7,7,Häcken,1,2013-03-31T00:00+0100,15,19721
9367,2,2129722,2,1,-2,IFK Göteborg,-2,7,9,AIK,3,2013-03-31T00:00+0100,3,9370
9376,2,2129723,2,2,-2,Elfsborg,-1,8,8,Norrköping,1,2013-03-31T00:00+0100,3,9369
9370,-1,2129724,-1,0,0,Halmstad,1,8,2,IFK Göteborg,1,2013-03-31T00:00+0100,13,9371
9374,-1,2129725,-1,1,-1,AIK,-1,8,6,Kalmar FF,2,2013-03-31T00:00+0100,10,9367
9389,-3,2129726,-2,1,0,Syrianska,-1,8,4,Mjällby,4,2013-03-31T00:00+0100,15,23026
9368,2,2129727,2,2,-4,Malmö FF,-6,8,16,Djurgården,3,2013-03-31T00:00+0100,5,9375
9394,-1,2129728,1,1,-2,Åtvidaberg,-2,8,12,Öster,0,2013-03-31T00:00+0100,7,9393
19721,-2,2129729,-2,1,-2,Gefle,-3,8,11,Brommapojkarna,4,2013-03-31T00:00+0100,14,9400
9373,0,2129730,1,0,0,Häcken,1,8,1,Helsingborg,5,2013-03-31T00:00+0100,9,19740
9389,1,2129731,0,2,1,Malmö FF,0,9,3,Mjällby,2,2013-03-31T00:00+0100,5,9375
19721,-4,2129732,-2,1,-2,Syrianska,-2,9,11,Brommapojkarna,1,2013-03-31T00:00+0100,14,23026
9394,-2,2129733,-1,3,-3,AIK,-3,9,12,Öster,2,2013-03-31T00:00+0100,8,9367
19740,-3,2129734,-4,2,-1,Gefle,-1,9,10,Häcken,2,2013-03-31T00:00+0100,13,9400
9368,-2,2129735,-1,0,-2,Halmstad,-5,9,16,Djurgården,1,2013-03-31T00:00+0100,15,9371
9370,0,2129736,1,0,1,Kalmar FF,2,9,2,IFK Göteborg,2,2013-03-31T00:00+0100,6,9374
9376,-1,2129737,0,1,-2,Åtvidaberg,-2,9,7,Norrköping,2,2013-03-31T00:00+0100,9,9393
9373,2,2129738,2,1,2,Elfsborg,2,9,1,Helsingborg,2,2013-03-31T00:00+0100,4,9369
9400,3,2129740,1,1,-3,IFK Göteborg,-3,10,11,Gefle,1,2013-03-31T00:00+0100,2,9370
9367,-4,2129742,-1,1,0,Djurgården,-2,10,10,AIK,1,2013-03-31T00:00+0100,16,9368
9369,-2,2129741,-2,0,1,Brommapojkarna,1,10,3,Elfsborg,6,2013-03-31T00:00+0100,12,19721
9371,-1,2129743,0,1,-2,Norrköping,-3,10,13,Halmstad,1,2013-03-31T00:00+0100,8,9376
9393,0,2129744,0,0,-1,Mjällby,-2,10,7,Åtvidaberg,3,2013-03-31T00:00+0100,6,9389
23026,-1,2129745,0,3,-1,Häcken,-4,10,15,Syrianska,0,2013-03-31T00:00+0100,9,19740
9374,-4,2129746,-5,1,0,Öster,-1,10,5,Kalmar FF,3,2013-03-31T00:00+0100,14,9394
23026,-4,2129747,-2,2,-3,Gefle,-4,11,14,Syrianska,2,2013-03-31T00:00+0100,13,9400
9375,3,2129739,3,1,0,Helsingborg,1,10,4,Malmö FF,1,2013-03-31T00:00+0100,1,9373
9368,0,2129748,1,0,0,Kalmar FF,-3,11,12,Djurgården,1,2013-03-31T00:00+0100,6,9374
9376,-2,2129749,0,1,1,AIK,-1,11,9,Norrköping,0,2013-03-31T00:00+0100,7,9367
9394,3,2129750,1,0,-5,IFK Göteborg,-5,11,11,Öster,2,2013-03-31T00:00+0100,3,9370
19721,1,2129753,-1,3,-2,Malmö FF,-3,11,15,Brommapojkarna,1,2013-03-31T00:00+0100,4,9375
9389,-3,2129751,-1,1,0,Halmstad,0,11,5,Mjällby,5,2013-03-31T00:00+0100,16,9371
9373,0,2129752,1,0,3,Åtvidaberg,2,11,1,Helsingborg,3,2013-03-31T00:00+0100,8,9393
19740,2,2129754,1,1,-1,Elfsborg,0,11,10,Häcken,0,2013-03-31T00:00+0100,2,9369
9400,-4,2129757,-3,0,-1,Öster,-3,12,13,Gefle,0,2013-03-31T00:00+0100,11,9394
9374,-3,2129755,-1,2,0,Norrköping,-1,12,7,Kalmar FF,2,2013-03-31T00:00+0100,10,9376
9370,-1,2129756,2,0,0,Djurgården,1,12,3,IFK Göteborg,0,2013-03-31T00:00+0100,12,9368
9369,-4,2129765,-1,0,1,Gefle,3,13,2,Elfsborg,0,2013-03-31T00:00+0100,13,9400
19721,-4,2129768,-4,1,-2,Halmstad,-5,13,14,Brommapojkarna,1,2013-03-31T00:00+0100,15,9371
19740,0,2129769,0,2,-2,Åtvidaberg,-2,13,9,Häcken,0,2013-03-31T00:00+0100,5,9393
9389,0,2129766,0,2,1,Kalmar FF,1,13,6,Mjällby,0,2013-03-31T00:00+0100,7,9374
23026,-1,2129770,-2,3,-3,Malmö FF,-4,13,16,Syrianska,2,2013-03-31T00:00+0100,4,9375
9376,1,2129763,1,2,-1,IFK Göteborg,-2,13,10,Norrköping,1,2013-03-31T00:00+0100,3,9370
9393,-4,2129776,-3,0,0,Syrianska,0,14,6,Åtvidaberg,1,2013-03-31T00:00+0100,16,23026
9374,3,2129773,1,1,-1,Helsingborg,0,14,7,Kalmar FF,1,2013-03-31T00:00+0100,1,9373
9371,-2,2129775,-2,2,-3,Häcken,-4,14,15,Halmstad,0,2013-03-31T00:00+0100,9,19740
9394,-2,2129771,-1,2,-2,Norrköping,-6,14,13,Öster,0,2013-03-31T00:00+0100,10,9376
9400,1,2129772,3,1,0,Djurgården,-3,14,12,Gefle,1,2013-03-31T00:00+0100,11,9368
9367,-5,2129774,-3,0,0,Brommapojkarna,0,14,5,AIK,4,2013-03-31T00:00+0100,14,19721
9370,-1,2129778,-1,2,0,Mjällby,0,14,2,IFK Göteborg,4,2013-03-31T00:00+0100,8,9389
9375,3,2129777,1,1,-1,Elfsborg,-1,14,4,Malmö FF,2,2013-03-31T00:00+0100,3,9369
9375,-1,2129761,-1,3,-1,Häcken,1,12,5,Malmö FF,1,2013-03-31T00:00+0100,9,19740
9373,-1,2129767,-1,2,3,AIK,4,13,1,Helsingborg,1,2013-03-31T00:00+0100,8,9367
9369,-4,2129762,-3,1,1,Syrianska,2,12,2,Elfsborg,5,2013-03-31T00:00+0100,15,23026
9368,-4,2129764,-2,0,3,Öster,0,13,11,Djurgården,2,2013-03-31T00:00+0100,12,9394
9367,1,2129758,0,0,0,Mjällby,-2,12,8,AIK,0,2013-03-31T00:00+0100,4,9389
9393,-3,2129760,-2,1,0,Brommapojkarna,0,12,6,Åtvidaberg,4,2013-03-31T00:00+0100,14,19721
9389,-6,2129781,-2,1,-2,Öster,-1,15,8,Mjällby,1,2013-03-31T00:00+0100,12,9394
19721,0,2129783,0,1,-4,Kalmar FF,-5,15,15,Brommapojkarna,0,2013-03-31T00:00+0100,7,9374
9369,2,2129786,2,1,1,Åtvidaberg,1,15,4,Elfsborg,0,2013-03-31T00:00+0100,6,9393
9375,-2,2129780,0,1,0,Gefle,-1,15,3,Malmö FF,3,2013-03-31T00:00+0100,13,9400
9367,-3,2129784,-2,0,1,Häcken,1,15,5,AIK,2,2013-03-31T00:00+0100,9,19740
23026,-4,2129785,-3,2,-4,Halmstad,-6,15,16,Syrianska,1,2013-03-31T00:00+0100,14,9371
9373,1,2129782,0,1,0,IFK Göteborg,3,15,1,Helsingborg,1,2013-03-31T00:00+0100,2,9370
19721,1,2129790,0,1,-4,IFK Göteborg,-5,16,15,Brommapojkarna,2,2013-03-31T00:00+0100,4,9370
19740,0,2129791,-1,1,-3,Kalmar FF,-3,16,9,Häcken,0,2013-03-31T00:00+0100,6,9374
9369,-4,2129793,-3,2,-1,Halmstad,0,16,5,Elfsborg,2,2013-03-31T00:00+0100,13,9371
9400,-3,2129787,-3,2,-1,Norrköping,-2,16,12,Gefle,2,2013-03-31T00:00+0100,10,9376
9389,3,2129788,2,0,-1,Djurgården,-2,16,8,Mjällby,2,2013-03-31T00:00+0100,11,9368
23026,2,2129792,2,2,-4,AIK,-7,16,16,Syrianska,1,2013-03-31T00:00+0100,3,9367
9375,2,2129794,1,0,1,Åtvidaberg,0,16,2,Malmö FF,4,2013-03-31T00:00+0100,7,9393
9373,-5,2129789,-1,0,0,Öster,2,16,1,Helsingborg,3,2013-03-31T00:00+0100,14,9394
9368,-3,2129802,-2,2,0,Norrköping,3,17,11,Djurgården,1,2013-03-31T00:00+0100,9,9376
19740,1,2129798,2,3,-3,AIK,-5,17,10,Häcken,2,2013-03-31T00:00+0100,3,9367
