hl_id,matchid,bl_slutmal,bl_namn,omgang,hl_pos,hl_namn,hl_slutmal,sasong,bl_pos,bl_id
19740,2129667,3,IFK Göteborg,1,0,Häcken,0,2013-03-31T00:00+0100,0,9370
9373,2129668,0,Djurgården,1,0,Helsingborg,3,2013-03-31T00:00+0100,0,9368
23026,2129669,3,Kalmar FF,1,0,Syrianska,0,2013-03-31T00:00+0100,0,9374
9389,2129670,2,Norrköping,1,0,Mjällby,1,2013-03-31T00:00+0100,0,9376
9375,2129671,1,Halmstad,1,0,Malmö FF,1,2013-03-31T00:00+0100,0,9371
9400,2129672,0,Åtvidaberg,1,0,Gefle,1,2013-03-31T00:00+0100,0,9393
19721,2129673,2,Öster,1,0,Brommapojkarna,2,2013-03-31T00:00+0100,0,9394
9369,2129674,2,AIK,1,0,Elfsborg,2,2013-03-31T00:00+0100,0,9367
9393,2129675,3,Malmö FF,2,15,Åtvidaberg,1,2013-03-31T00:00+0100,5,9375
9367,2129676,0,Syrianska,2,10,AIK,0,2013-03-31T00:00+0100,14,23026
9370,2129677,0,Brommapojkarna,2,1,IFK Göteborg,2,2013-03-31T00:00+0100,12,19721
9374,2129678,0,Häcken,2,4,Kalmar FF,0,2013-03-31T00:00+0100,13,19740
9371,2129679,1,Elfsborg,2,11,Halmstad,1,2013-03-31T00:00+0100,8,9369
9376,2129680,1,Gefle,2,2,Norrköping,2,2013-03-31T00:00+0100,7,9400
9368,2129681,3,Mjällby,2,16,Djurgården,0,2013-03-31T00:00+0100,6,9389
9394,2129682,1,Helsingborg,2,9,Öster,1,2013-03-31T00:00+0100,3,9373
19721,2129683,0,Norrköping,3,10,Brommapojkarna,1,2013-03-31T00:00+0100,5,9376
23026,2129684,1,Öster,3,15,Syrianska,0,2013-03-31T00:00+0100,6,9394
9375,2129685,0,Kalmar FF,3,2,Malmö FF,1,2013-03-31T00:00+0100,8,9374
9393,2129686,0,AIK,3,12,Åtvidaberg,1,2013-03-31T00:00+0100,13,9367
19740,2129687,0,Djurgården,3,9,Häcken,4,2013-03-31T00:00+0100,16,9368
9400,2129688,0,Halmstad,3,4,Gefle,2,2013-03-31T00:00+0100,14,9371
9373,2129689,2,Mjällby,3,7,Helsingborg,1,2013-03-31T00:00+0100,3,9389
