gameId,round,homeTeam,homeTeamId,homeTeamScore,homePos,visitingTeam,visitingTeamId,visitingTeamScore,visitingPos,date,league,leagueId,leagueGender,round,spectators,arenaId,arenaName,referees
1932235,1,Gais,9382,0,8,Häcken,19740,0,7,2012-03-31T16:00+0200,Allsvenskan,51603,MEN,1,9561,61381,Gamla Ullevi,
1932236,1,GIF Sundsvall,9407,0,15,Kalmar FF,9374,1,5,2012-03-31T16:00+0200,Allsvenskan,51603,MEN,1,4836,32801,Norrport Arena,
1932237,1,Elfsborg,9369,2,2,Djurgården,9368,1,13,2012-03-31T16:00+0200,Allsvenskan,51603,MEN,1,13673,1874,Borås arena,
1932238,1,AIK,9367,0,6,Mjällby,9389,0,11,2012-04-01T14:00+0200,Allsvenskan,51603,MEN,1,20557,59986,Råsunda,
1932239,1,Syrianska,23026,2,3,Göteborg,9370,1,14,2012-04-01T17:30+0200,Allsvenskan,51603,MEN,1,4451,61456,Södertälje Fotbollsarena,
1932240,1,Malmö FF,9375,0,10,Gefle,9400,0,9,2012-04-02T19:00+0200,Allsvenskan,51603,MEN,1,17102,5184,Swedbank Arena,
1932241,1,Örebro,9379,3,12,Åtvidaberg,9393,4,1,2012-04-02T19:00+0200,Allsvenskan,51603,MEN,1,6729,60649,Behrn Arena,
1932242,1,Norrköping,9376,1,4,Helsingborg,9373,0,16,2012-04-02T19:05+0200,Allsvenskan,51603,MEN,1,8225,60029,Nya Parken,
1932243,2,Åtvidaberg,9393,2,1,Gais,9382,1,13,2012-04-06T15:00+0200,Allsvenskan,51603,MEN,2,4113,,,
1932245,2,Gefle,9400,1,10,Syrianska,23026,1,4,2012-04-06T15:00+0200,Allsvenskan,51603,MEN,2,4612,60610,Strömvallen,
1932244,2,Häcken,19740,5,3,Malmö FF,9375,0,14,2012-04-07T14:00+0200,Allsvenskan,51603,MEN,2,4108,331,Rambergsvallen,
1932246,2,Mjällby,9389,0,11,Örebro,9379,0,12,2012-04-07T16:00+0200,Allsvenskan,51603,MEN,2,3409,61382,Strandvallen,
1932247,2,Djurgården,9368,1,7,GIF Sundsvall,9407,0,16,2012-04-08T15:00+0200,Allsvenskan,51603,MEN,2,11742,13,Stockholms Stadion,
1932248,2,Helsingborg,9373,2,8,Elfsborg,9369,1,6,2012-04-08T17:30+0200,Allsvenskan,51603,MEN,2,13107,1871,Olympia,
1932249,2,Göteborg,9370,1,15,Norrköping,9376,2,2,2012-04-09T15:00+0200,Allsvenskan,51603,MEN,2,15334,,,
1932250,2,Kalmar FF,9374,1,9,AIK,9367,2,5,2012-04-09T17:30+0200,Allsvenskan,51603,MEN,2,10079,,,
1932251,3,Åtvidaberg,9393,6,1,Gefle,9400,1,15,2012-04-10T19:00+0200,Allsvenskan,51603,MEN,3,2863,,,
1932252,3,Örebro,9379,0,12,Helsingborg,9373,0,7,2012-04-11T19:00+0200,Allsvenskan,51603,MEN,3,5612,,,
1932253,3,Gais,9382,0,13,Djurgården,9368,0,6,2012-04-11T19:00+0200,Allsvenskan,51603,MEN,3,4470,,,
1932254,3,Häcken,19740,4,2,Mjällby,9389,2,14,2012-04-12T19:00+0200,Allsvenskan,51603,MEN,3,2471,331,Rambergsvallen,
1932255,3,Elfsborg,9369,2,3,Norrköping,9376,0,4,2012-04-12T19:00+0200,Allsvenskan,51603,MEN,3,7413,1874,Borås arena,
1932256,3,GIF Sundsvall,9407,4,10,Syrianska,23026,0,8,2012-04-12T19:00+0200,Allsvenskan,51603,MEN,3,3371,,,
1932257,3,AIK,9367,1,5,Göteborg,9370,1,16,2012-04-12T19:05+0200,Allsvenskan,51603,MEN,3,15702,59986,Råsunda,
1932258,3,Malmö FF,9375,2,9,Kalmar FF,9374,0,11,2012-04-13T19:00+0200,Allsvenskan,51603,MEN,3,12533,,,
1932260,4,Syrianska,23026,0,12,AIK,9367,1,3,2012-04-15T15:00+0200,Allsvenskan,51603,MEN,4,3093,,,
1932261,4,Mjällby,9389,2,8,Åtvidaberg,9393,0,1,2012-04-15T17:30+0200,Allsvenskan,51603,MEN,4,2831,,,
1932262,4,Göteborg,9370,2,15,Örebro,9379,2,13,2012-04-15T17:30+0200,Allsvenskan,51603,MEN,4,10039,,,
1932259,4,Gefle,9400,1,16,Elfsborg,9369,2,2,2012-04-16T19:00+0200,Allsvenskan,51603,MEN,4,2890,,,
1932263,4,Kalmar FF,9374,3,7,Häcken,19740,1,4,2012-04-16T19:00+0200,Allsvenskan,51603,MEN,4,5051,,,
1932264,4,Norrköping,9376,2,5,GIF Sundsvall,9407,2,10,2012-04-16T19:00+0200,Allsvenskan,51603,MEN,4,5271,,,
1932265,4,Helsingborg,9373,1,9,Gais,9382,1,14,2012-04-16T19:00+0200,Allsvenskan,51603,MEN,4,8102,1871,Olympia,
1932266,4,Djurgården,9368,2,11,Malmö FF,9375,3,6,2012-04-16T19:05+0200,Allsvenskan,51603,MEN,4,9582,13,Stockholms Stadion,
1932267,5,Mjällby,9389,4,5,Djurgården,9368,3,14,2012-04-20T19:00+0200,Allsvenskan,51603,MEN,5,3022,,,
